batch #,A,B,C,D,E,11111111,batch size= 10
1,43.5483871,32.87250384,47.23502304,53.4562212,54.60829493,,
2,46.39016897,37.78801843,62.90322581,67.28110599,66.97388633,,
3,48.92473118,55.76036866,65.89861751,67.74193548,70.96774194,,
4,49.15514593,59.83102919,68.89400922,73.19508449,75.49923195,,
5,49.15514593,60.21505376,69.8156682,74.57757296,76.42089094,,
6,49.15514593,61.52073733,72.11981567,74.57757296,79.26267281,,
7,49.53917051,61.98156682,76.26728111,74.57757296,79.26267281,,
8,49.53917051,62.13517665,78.03379416,75.11520737,81.87403994,,
9,49.53917051,70.58371736,78.18740399,75.11520737,84.79262673,,
10,49.53917051,73.65591398,78.87864823,75.11520737,87.01996928,,
11,49.53917051,74.80798771,80.10752688,76.88172043,87.48079877,,
12,49.53917051,76.80491551,80.56835637,78.64823349,87.48079877,,
13,49.69278034,77.11213518,81.25960061,79.87711214,87.94162826,,
14,49.76958525,77.57296467,82.71889401,80.41474654,88.40245776,,
15,49.76958525,79.87711214,83.25652842,82.33486943,91.01382488,,
16,49.76958525,81.10599078,83.25652842,82.33486943,91.01382488,,
17,49.76958525,83.25652842,83.71735791,83.640553,91.01382488,,
18,49.76958525,84.02457757,83.71735791,84.40860215,92.62672811,,
19,49.76958525,85.56067588,83.71735791,84.56221198,92.62672811,,
20,49.76958525,86.02150538,86.55913978,85.02304147,93.5483871,,
21,49.76958525,86.02150538,88.32565284,85.40706605,93.5483871,,
22,49.76958525,86.48233487,89.01689708,85.56067588,94.00921659,,
23,49.76958525,86.94316436,89.40092166,86.17511521,94.77726575,,
24,49.76958525,86.94316436,90.16897081,86.17511521,95.08448541,,
25,49.76958525,86.94316436,90.62980031,86.94316436,95.39170507,,
