batch #,A,B,C,D,E,11111111,batch size= 10
1,19.06996587,58.36177474,56.6552901,71.67235495,70.69112628,,
2,19.4112628,65.6996587,63.39590444,78.66894198,81.10068259,,
3,19.53924915,69.96587031,66.04095563,82.721843,84.34300341,,
4,19.92320819,73.33617747,70.43515358,83.31911263,85.79351536,,
5,19.92320819,76.10921502,71.41638225,84.51365188,87.54266212,,
6,19.92320819,77.09044369,72.09897611,86.26279863,89.07849829,,
7,19.92320819,78.88225256,74.78668942,86.73208191,89.29180887,,
8,19.92320819,81.48464164,76.19453925,87.41467577,89.29180887,,
9,19.92320819,82.33788396,76.53583618,87.41467577,89.29180887,,
10,20.00853242,82.59385666,77.17576792,87.84129693,89.33447099,,
11,20.00853242,82.76450512,77.17576792,88.35324232,89.41979522,,
12,20.00853242,82.84982935,77.34641638,88.73720137,89.71843003,,
13,20.05119454,83.40443686,79.65017065,88.73720137,90.44368601,,
14,20.05119454,84.42832765,80.11945392,88.73720137,90.87030717,,
15,20.05119454,84.59897611,80.11945392,88.77986348,90.87030717,,
16,20.05119454,86.6894198,80.11945392,88.77986348,90.87030717,,
17,20.13651877,86.77474403,80.46075085,88.90784983,91.12627986,,
18,20.13651877,86.86006826,80.50341297,88.90784983,91.12627986,,
19,20.13651877,88.09726962,80.93003413,88.99317406,91.16894198,,
20,20.26450512,88.90784983,82.12457338,88.99317406,91.2116041,,
21,20.26450512,89.33447099,82.29522184,89.24914676,91.25426621,,
22,20.26450512,89.6331058,82.29522184,89.24914676,91.25426621,,
23,20.34982935,89.97440273,82.38054608,89.24914676,91.25426621,,
24,20.34982935,89.97440273,82.38054608,89.80375427,91.25426621,,
25,20.34982935,89.97440273,82.38054608,89.80375427,91.25426621,,
